input	response	metadata
"오늘 우리반과 옆반의 평균 온도차이 알려줘"	"{'Formalized Input': '오늘 우리반과 옆반의 평균 실내온도 차이 알려줘.', 'Input Semantic Parsing': {'Temporal': [('오늘', '2022-09-30 00:00:00 ~ 2022-09-30 23:59:59')], 'Spatial': ['우리반', '옆반'], 'Modality': ['실내온도'], 'Operation': ['차이'], 'Target': ['온도']}, 'Instruction Set': [['q', '오늘 우리반 평균 실내온도 알려줘.', '오늘 우리반 평균 실내온도', '값', {'Temporal': [('오늘', '2022-09-30 00:00:00 ~ 2022-09-30 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['실내온도'], 'Operation': [None], 'Target': ['온도']}], ['q', '오늘 옆반 평균 실내온도 알려줘.', '오늘 옆반 평균 실내온도', '값', {'Temporal': [('오늘', '2022-09-30 00:00:00 ~ 2022-09-30 23:59:59')], 'Spatial': ['옆반'], 'Modality': ['실내온도'], 'Operation': [None], 'Target': ['온도']}], ['r', '예) 우리반과 옆반의 평균 온도차이는 2도입니다.']]}"	
"올해 여름 우리반 평균온도 알려줘."	"{'Formalized Input': '올해 여름 우리반 평균 설정온도 알려줘.', 'Input Semantic Parsing': {'Temporal': [('올해 여름', '2022-06-01 00:00:00 ~ 2022-08-31 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['설정온도'], 'Operation': ['평균'], 'Target': ['온도']}, 'Instruction Set': [['q', '올해 여름 우리반 평균 설정온도 알려줘.', '올해 여름 우리반 평균 설정온도', '값', {'Temporal': [('올해 여름', '2022-06-01 00:00:00 ~ 2022-08-31 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['설정온도'], 'Operation': ['평균'], 'Target': ['온도']}], ['r', '예) 지난 여름 우리반의 평균 설정온도는 26도입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"이번달 중 우리반 온도가 가장 더운날이 언제야?"	"{'Formalized Input': '이번달 우리반 실내온도가 최고인 날짜 알려줘.', 'Input Semantic Parsing': {'Temporal': [('이번달', '2022-09-01 00:00:00 ~ 2022-09-30 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['실내온도'], 'Operation': ['최고인'], 'Target': ['날짜']}, 'Instruction Set': [['q', '이번달 우리반 실내온도가 최고인 날짜 알려줘.', '이번달 우리반 실내온도가 최고인 날짜', '값', {'Temporal': [('이번달', '2022-09-01 00:00:00 ~ 2022-09-30 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['실내온도'], 'Operation': ['최고인'], 'Target': ['날짜']}], ['r', '예) 이번달 중 우리반의 온도가 가장 더운날은 2022년 9월 15일입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"우리반과 옆반중에 온도가 더 추운곳은 어디야?"	"{'Formalized Input': '지금 우리반과 옆반 중 실내온도가 최소인 장소 알려줘.', 'Input Semantic Parsing': {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리반', '옆반'], 'Modality': ['실내온도'], 'Operation': ['최소인'], 'Target': ['장소']}, 'Instruction Set': [['q', '우리반 실내온도 알려줘', '지금 우리반 실내온도', '값', {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리반'], 'Modality': ['실내온도'], 'Operation': [None], 'Target': ['온도']}], ['q', '옆반의 온도 알려줘', '지금 옆반의 실내온도', '값', {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['옆반'], 'Modality': ['실내온도'], 'Operation': [None], 'Target': ['온도']}], ['r', '예) 우리반의 온도가 옆반보다 더 낮아요.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"에어컨 켜져있어?"	"{'Formalized Input': '지금 우리반 전원 값 알려줘.', 'Input Semantic Parsing': {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리반'], 'Modality': ['전원'], 'Operation': [None], 'Target': ['전원']}, 'Instruction Set': [['q', '지금 우리반 전원 값 알려줘.', '지금 우리반 전원 값', '값', {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리반'], 'Modality': ['전원'], 'Operation': [None], 'Target': ['전원']}], ['r', '예) 지금 우리반 에어컨은 켜져 있습니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"앞반 지금 전원 켜져있어?"	"{'Formalized Input': '지금 앞반 전원 값 알려줘.', 'Input Semantic Parsing': {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['앞반'], 'Modality': ['전원'], 'Operation': [None], 'Target': ['전원']}, 'Instruction Set': [['q', '지금 앞반 전원 값 알려줘.', '지금 앞반 전원 값', '값', {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['앞반'], 'Modality': ['전원'], 'Operation': [None], 'Target': ['전원']}], ['r', '예) 지금 앞반 에어컨은 꺼져 있습니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"우리집 지금 전력사용량 얼마야?"	"{'Formalized Input': '지금 우리집 전력사용량 알려줘.', 'Input Semantic Parsing': {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리집'], 'Modality': ['전력사용량'], 'Operation': [None], 'Target': ['전력']}, 'Instruction Set': [['q', '지금 우리집 전력사용량 알려줘.', '지금 우리집 전력사용량', '값', {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리집'], 'Modality': ['전력사용량'], 'Operation': [None], 'Target': ['전력']}], ['r', '예) 지금 우리집 전력사용량은 100kWh입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"어제 전원 껐어?"	"{'Formalized Input': '어제 전원 값 알려줘.', 'Input Semantic Parsing': {'Temporal': [('어제', '2022-09-29 00:00:00 ~ 2022-09-29 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['전원'], 'Operation': [None], 'Target': ['전원']}, 'Instruction Set': [['q', '어제 우리반 전원 값 알려줘.', '어제 우리반 전원 값', '값', {'Temporal': [('어제', '2022-09-29 00:00:00 ~ 2022-09-29 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['전원'], 'Operation': [None], 'Target': ['전원']}], ['r', '예) 어제 우리반 전원은 꺼져 있습니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"지금 옆반 온도랑 우리반 온도 알려줘"	"{'Formalized Input': '지금 우리반과 옆반 실내온도 알려줘.', 'Input Semantic Parsing': {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리반', '옆반'], 'Modality': ['실내온도'], 'Operation': [None], 'Target': ['온도']}, 'Instruction Set': [['q', '지금 우리반 실내온도 알려줘', '지금 우리반 실내온도', '값', {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리반'], 'Modality': ['실내온도'], 'Operation': [None], 'Target': ['온도']}], ['q', '지금 옆반 실내온도 알려줘', '지금 옆반 실내온도', '값', {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['옆반'], 'Modality': ['실내온도'], 'Operation': [None], 'Target': ['온도']}], ['r', '예) 지금 우리반의 실내온도는 26도이고, 옆반의 실내온도는 25도입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"현재 옆반 온도랑 우리반 온도 차이 알려줘"	"{'Formalized Input': '현재 우리반과 옆반 실내온도 차이 알려줘.', 'Input Semantic Parsing': {'Temporal': [('현재', '2022-09-30 12:00:00')], 'Spatial': ['우리반', '옆반'], 'Modality': ['실내온도'], 'Operation': ['차이'], 'Target': ['온도']}, 'Instruction Set': [['q', '현재 우리반 실내온도 알려줘', '현재 우리반 실내온도', '값', {'Temporal': [('현재', '2022-09-30 12:00:00')], 'Spatial': ['우리반'], 'Modality': ['실내온도'], 'Operation': [None], 'Target': ['온도']}], ['q', '현재 옆반 실내온도 알려줘', '현재 옆반 실내온도', '값', {'Temporal': [('현재', '2022-09-30 12:00:00')], 'Spatial': ['옆반'], 'Modality': ['실내온도'], 'Operation': [None], 'Target': ['온도']}], ['r', '예) 우리반과 옆반의 실내 온도차이는 2도입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"오늘 옆반 습도 알려줘."	"{'Formalized Input': '오늘 옆반 실내습도 알려줘.', 'Input Semantic Parsing': {'Temporal': [('오늘', '2022-09-30 00:00:00 ~ 2022-09-30 23:59:59')], 'Spatial': ['옆반'], 'Modality': ['실내습도'], 'Operation': [None], 'Target': ['습도']}, 'Instruction Set': [['q', '오늘 옆반 실내습도 알려줘.', '오늘 옆반 실내습도', '값', {'Temporal': [('오늘', '2022-09-30 00:00:00 ~ 2022-09-30 23:59:59')], 'Spatial': ['옆반'], 'Modality': ['실내습도'], 'Operation': [None], 'Target': ['습도']}], ['r', '예) 오늘 옆반의 습도는 60%입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"어제 우리집 평균 전력사용량 알려줘."	"{'Formalized Input': '어제 우리집 평균 전력사용량 알려줘.', 'Input Semantic Parsing': {'Temporal': [('어제', '2022-09-29 00:00:00 ~ 2022-09-29 23:59:59')], 'Spatial': ['우리집'], 'Modality': ['전력사용량'], 'Operation': ['평균'], 'Target': ['전력']}, 'Instruction Set': [['q', '어제 우리집 평균 전력사용량 알려줘.', '어제 우리집 평균 전력사용량', '값', {'Temporal': [('어제', '2022-09-29 00:00:00 ~ 2022-09-29 23:59:59')], 'Spatial': ['우리집'], 'Modality': ['전력사용량'], 'Operation': ['평균'], 'Target': ['전력']}], ['r', '예) 어제 우리집의 평균 전력사용량은 75kWh입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"지금 우리반 에어컨 설정온도 알려줘"	"{'Formalized Input': '지금 우리반 에어컨 설정온도 알려줘.', 'Input Semantic Parsing': {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리반'], 'Modality': ['설정온도'], 'Operation': [None], 'Target': ['온도']}, 'Instruction Set': [['q', '지금 우리반 에어컨 설정온도 알려줘.', '지금 우리반 설정온도', '값', {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리반'], 'Modality': ['설정온도'], 'Operation': [None], 'Target': ['온도']}], ['r', '예) 지금 우리반 에어컨 설정온도는 24도입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"옆반 어제 습도 어땠어?"	"{'Formalized Input': '어제 옆반 실내습도 알려줘.', 'Input Semantic Parsing': {'Temporal': [('어제', '2022-09-29 00:00:00 ~ 2022-09-29 23:59:59')], 'Spatial': ['옆반'], 'Modality': ['실내습도'], 'Operation': [None], 'Target': ['습도']}, 'Instruction Set': [['q', '어제 옆반 실내습도 알려줘.', '어제 옆반 실내습도', '값', {'Temporal': [('어제', '2022-09-29 00:00:00 ~ 2022-09-29 23:59:59')], 'Spatial': ['옆반'], 'Modality': ['실내습도'], 'Operation': [None], 'Target': ['습도']}], ['r', '예) 어제 옆반의 실내습도는 55%였습니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"지난주 우리반 온도 변화 추이 알려줘"	"{'Formalized Input': '지난주 우리반 실내온도 변화 추이 알려줘.', 'Input Semantic Parsing': {'Temporal': [('지난주', '2022-09-23 00:00:00 ~ 2022-09-29 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['실내온도'], 'Operation': ['변화 추이'], 'Target': ['온도']}, 'Instruction Set': [['q', '지난주 우리반 실내온도 변화 추이 알려줘.', '지난주 우리반 실내온도 변화 추이', '값', {'Temporal': [('지난주', '2022-09-23 00:00:00 ~ 2022-09-29 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['실내온도'], 'Operation': ['변화 추이'], 'Target': ['온도']}], ['r', '예) 지난주 우리반의 실내온도는 20도에서 24도까지 변동했습니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"올해 우리집 냉난방 사용 시간 알려줘."	"{'Formalized Input': '올해 우리집 냉난방 사용 시간 알려줘.', 'Input Semantic Parsing': {'Temporal': [('올해', '2022-01-01 00:00:00 ~ 2022-12-31 23:59:59')], 'Spatial': ['우리집'], 'Modality': ['냉난방 사용 시간'], 'Operation': [None], 'Target': ['시간']}, 'Instruction Set': [['q', '올해 우리집 냉난방 사용 시간 알려줘.', '올해 우리집 냉난방 사용 시간', '값', {'Temporal': [('올해', '2022-01-01 00:00:00 ~ 2022-12-31 23:59:59')], 'Spatial': ['우리집'], 'Modality': ['냉난방 사용 시간'], 'Operation': [None], 'Target': ['시간']}], ['r', '예) 올해 우리집 냉난방 사용 시간은 1500시간입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"내일 우리반 예보된 최고온도 알려줘"	"{'Formalized Input': '내일 우리반 예보된 최고 실내온도 알려줘.', 'Input Semantic Parsing': {'Temporal': [('내일', '2022-10-01 00:00:00 ~ 2022-10-01 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['예보된 실내온도'], 'Operation': ['최고'], 'Target': ['온도']}, 'Instruction Set': [['q', '내일 우리반 예보된 최고 실내온도 알려줘.', '내일 우리반 예보된 최고 실내온도', '값', {'Temporal': [('내일', '2022-10-01 00:00:00 ~ 2022-10-01 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['예보된 실내온도'], 'Operation': ['최고'], 'Target': ['온도']}], ['r', '예) 내일 우리반의 최고 실내온도는 30도입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"지난달 전력 피크값 확인해줘"	"{'Formalized Input': '지난달 전력 피크값 알려줘.', 'Input Semantic Parsing': {'Temporal': [('지난달', '2022-08-01 00:00:00 ~ 2022-08-31 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['전력 사용량'], 'Operation': ['피크값'], 'Target': ['전력']}, 'Instruction Set': [['q', '지난달 전력 피크값 알려줘.', '지난달 전력 피크값', '값', {'Temporal': [('지난달', '2022-08-01 00:00:00 ~ 2022-08-31 23:59:59')], 'Spatial': ['우리반'], 'Modality': ['전력 사용량'], 'Operation': ['피크값'], 'Target': ['전력']}], ['r', '예) 지난달 전력 피크값은 85kWh입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
"지금 우리반에서 온도가 가장 높은 위치 알려줘"	"{'Formalized Input': '지금 우리반에서 온도가 가장 높은 위치 알려줘.', 'Input Semantic Parsing': {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리반'], 'Modality': ['실내온도'], 'Operation': ['가장 높은 위치'], 'Target': ['위치']}, 'Instruction Set': [['q', '지금 우리반에서 온도가 가장 높은 위치 알려줘.', '지금 우리반 최고 온도 위치', '값', {'Temporal': [('지금', '2022-09-30 12:00:00')], 'Spatial': ['우리반'], 'Modality': ['실내온도'], 'Operation': ['최고 위치'], 'Target': ['위치']}], ['r', '예) 지금 우리반에서 온도가 가장 높은 위치는 창가입니다.']]}"	"{'site_name': 'YongDongIllHighSchool', 'user_name': '홍길동', 'user_role': 'customer', 'idu_name': '01_IB5', 'idu_mapping': {'01_IB5': ['우리반'], '01_IB7': ['옆반']}, 'modality_mapping': {'roomtemp': ['실내온도'], 'settemp': ['설정온도'], 'oper': ['전원']}, 'current_datetime': '2022-09-30 12:00:00'}"
