9.41,  어제 우리반과 옆반의 설정온도 차이 알려줘
9.92,  오늘 우리반과 옆반의 평균 온도차이 알려줘
5.51,  작년 겨울 우리반 평균온도 알려줘
5.87,  올해 여름 앞반 평균온도 알려줘
9.68,  올해 봄 옆반 제일 추웠던 날 알려줘
5.18,  4월 앞반 평균온도 알려줘
7.75,  이번달 중 우리반 온도가 가장 덜 더운날이 언제야?
10.33, 2주전 우리반과 옆반 합쳐서 설정온도가 가장 낮은날이 언제야?
4.35,  이번달 중 뒷반 온도가 가장 더운날이 언제야?
4.20,  우리반의 현재 설정 온도 알려줘
5.62,  8일전 설정온도는?
5.99,  10년 전 오늘 우리반 온도는?
2.85,  롯데캐슬의 현재 온도 알려줘
4.87,  지금 4층 최대 설정온도 알려줘
8.03,  우리반, 옆반, 앞반 중 가장 추운 방은?
2.84,  지금 에너지 사용량 알려줘
6.09,  지난달 오늘 오후 2시에 옆반의 설정온도는 어땠어?
5.99,  옆반의 현재 온도랑 설정온도 알려줘
5.57,  이번주 우리반 평균 온도 알려줘
5.38,  지난달 설정온도 평균을 알려줘.
2.71,  1층 평균 실내온도 알려줘
9.20,  우리반 이번달 제일 추웠던 날은 언제냐?
8.74,  작년 옆반 가장 더웠던 달은?
5.70,  오늘 오전 11시에 옆반의 실내온도는 어땠어?
6.82,  오늘 오후 4시부터 6시까지 실내온도 평균 알려줘
13.06, 지난주에 설정온도와 실내온도 차이가 가장 많이 났던 날은?
13.77, 우리반과 옆반중 더 추운곳은 어디야?
8.41,  이번주 우리반과 앞반의 평균 온도 알려줘
7.92,  현재 설정온도랑 실내온도 차이 알려줘.
22.21, 지난달에 설정온도와 실내온도 차이가 가장 많이 났던 날은?
10.18, 이번주 우리반과 옆반의 평균 실내온도 차이 알려줘
6.82,  2주전 가장 더웠던 날 알려줘
2.56,  화성의 설정온도 확인해줘
2.58,  옆반 습도 알려줘
5.71,  지난 3일 동안 우리반 실내 온도 평균 값 알려줘.
5.71,  오늘 오후 5시에 옆반의 설정온도는 어땠어?
7.74,  올해 여름 우리반 실내온도 최대값과 최소값 알려줘
12.40, 우리반과 앞반 중 가장 더운 방은?
2.93,  지금 4층 평균 실내온도 알려줘
8.46,  이번주 우리반과 앞반의 평균 온도 알려줘
7.65,  현재 설정온도랑 실내온도 차이 알려줘.
14.81, 지난달에 설정온도와 실내온도 차이가 가장 많이 났던 날은?
10.45, 이번주 우리반과 옆반의 평균 실내온도 차이 알려줘
9.93,  2주전 가장 더웠던 날 알려줘
2.48,  화성의 설정온도 확인해줘
2.48,  옆반 습도 알려줘
5.53,  지난 3일 동안 우리반 실내 온도 평균 값 알려줘.
5.38,  오늘 오후 5시에 옆반의 설정온도는 어땠어?
7.59,  올해 여름 우리반 실내온도 최대값과 최소값 알려줘
12.34, 우리반과 앞반 중 가장 더운 방은?
4.15,  현재 4층에서 온도 22℃ 이상인 방들 알려줘
9.22,  3주전 온도가 22℃ 이상이었던 날짜 알려줘