Input,expertLLM_input_len,expertLLM_output_len,rg_input_len,rg_output_len
어제 우리반과 옆반의 설정온도 차이 알려줘,11,360,155,39
오늘 우리반과 옆반의 평균 온도차이 알려줘,11,401,193,34
작년 겨울 우리반 평균온도 알려줘,8,232,76,32
올해 여름 앞반 평균온도 알려줘,8,242,90,25
올해 봄 옆반 제일 추웠던 날 알려줘,10,370,104,15
4월 앞반 평균온도 알려줘,8,228,59,14
이번달 중 우리반 온도가 가장 덜 더운날이 언제야?,15,324,67,10
2주전 우리반과 옆반 합쳐서 설정온도가 가장 낮은날이 언제야?,20,428,225,114
우리반의 현재 설정 온도 알려줘,7,173,60,16
8일전 설정온도는?,6,241,69,19
10년 전 오늘 우리반 온도는?,10,267,71,17
지금 4층 최대 설정온도 알려줘,9,206,69,19
"우리반, 옆반, 앞반 중 가장 추운 방은?",14,318,109,38
지난달 오늘 오후 2시에 옆반의 설정온도는 어땠어?,15,233,89,22
옆반의 현재 온도랑 설정온도 알려줘,9,233,103,30
이번주 우리반 평균 온도 알려줘,8,228,82,18
지난달 설정온도 평균을 알려줘.,8,216,78,16
우리반 이번달 제일 추웠던 날은 언제냐?,12,361,136,44
작년 옆반 가장 더웠던 달은?,9,353,94,15
오늘 오전 11시에 옆반의 실내온도는 어땠어?,15,232,80,22
오늘 오후 4시부터 6시까지 실내온도 평균 알려줘,15,279,107,27
지난주에 설정온도와 실내온도 차이가 가장 많이 났던 날은?,16,494,215,50
우리반과 옆반중 더 추운곳은 어디야?,13,793,216,36
이번주 우리반과 앞반의 평균 온도 알려줘,11,338,149,35
현재 설정온도랑 실내온도 차이 알려줘.,10,291,140,36
지난달에 설정온도와 실내온도 차이가 가장 많이 났던 날은?,16,825,383,111
이번주 우리반과 옆반의 평균 실내온도 차이 알려줘,13,402,206,42
2주전 가장 더웠던 날 알려줘,9,281,142,36
지난 3일 동안 우리반 실내 온도 평균 값 알려줘.,14,237,95,23
오늘 오후 5시에 옆반의 설정온도는 어땠어?,14,223,78,21
올해 여름 우리반 실내온도 최대값과 최소값 알려줘,13,306,129,40
우리반과 앞반 중 가장 더운 방은?,11,634,109,22
지금 4층 평균 실내온도 알려줘,9,131,68,18